Date,Season,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HS,AS,HST,AST,HC,AC,HY,AY,HR,AR,B365H,B365D,B365A,TotalGoals,prob_H_norm,prob_D_norm,prob_A_norm
2020-12-12,2020-21,Getafe,Sevilla,0,1,A,8,8,2,0,5,3,2,3,0,0,3.75,3.2,2.1,1,0.25267907501410036,0.2961082910321489,0.45121263395375066
2020-12-12,2020-21,Valencia,Ath Bilbao,2,2,D,11,13,2,5,0,10,2,6,0,0,3.25,3.1,2.35,4,0.29142914291429145,0.3055305530553056,0.4030403040304031
2020-12-13,2020-21,Sociedad,Eibar,1,1,D,8,16,2,4,5,4,4,3,0,0,1.6,3.75,6.0,2,0.5905511811023622,0.25196850393700787,0.15748031496062992
2020-12-13,2020-21,Betis,Villarreal,1,1,D,11,7,5,2,4,8,2,3,0,0,3.1,3.5,2.25,2,0.306420233463035,0.2714007782101167,0.42217898832684825
2020-12-13,2020-21,Elche,Granada,0,1,A,9,13,1,5,6,5,4,2,0,0,3.4,3.1,2.3,1,0.27971753628874063,0.3067869752844252,0.41349548842683403
2020-12-13,2020-21,Barcelona,Levante,1,0,H,24,7,13,3,12,4,2,1,0,0,1.22,7.0,11.0,1,0.7780921584478578,0.13561034761519808,0.08629749393694423
2020-12-14,2020-21,Celta,Cadiz,4,0,H,8,12,5,2,1,5,2,1,0,0,1.72,3.6,5.25,4,0.5538948478987163,0.26463864955160893,0.18146650254967467
2020-12-15,2020-21,Real Madrid,Ath Bilbao,3,1,H,18,10,5,4,6,6,1,3,0,1,1.53,4.33,5.75,4,0.6174990513369328,0.21819250543776147,0.1643084432253056
2020-12-16,2020-21,Barcelona,Sociedad,2,1,H,14,12,4,5,2,3,3,3,0,0,1.6,4.5,5.0,3,0.5968169761273209,0.21220159151193632,0.19098143236074272
2020-12-18,2020-21,Ath Bilbao,Huesca,2,0,H,10,6,3,1,5,5,0,3,0,1,1.9,3.3,4.33,2,0.4963871326339192,0.28579865212255956,0.21781421524352113
2020-12-19,2020-21,Sevilla,Valladolid,1,1,D,14,12,3,5,7,7,3,4,0,0,1.53,3.75,7.5,2,0.6203473945409429,0.2531017369727047,0.12655086848635236
2020-12-19,2020-21,Osasuna,Villarreal,1,3,A,6,13,1,6,2,2,2,2,1,0,3.6,3.4,2.1,4,0.26503340757238314,0.28062360801781744,0.4543429844097996
2020-12-19,2020-21,Levante,Sociedad,2,1,H,13,15,5,5,3,4,2,1,0,0,3.4,3.4,2.15,3,0.2792207792207792,0.2792207792207792,0.44155844155844154
2020-12-19,2020-21,Barcelona,Valencia,2,2,D,25,12,9,4,8,3,4,2,0,0,1.3,6.0,8.5,4,0.730136005726557,0.15819613457408735,0.11166785969935578
2020-12-19,2020-21,Ath Madrid,Elche,3,1,H,12,8,6,3,2,5,1,2,0,0,1.2,6.0,19.0,4,0.7916666666666667,0.15833333333333333,0.05
2020-12-20,2020-21,Celta,Alaves,2,0,H,11,8,3,2,3,5,2,2,0,0,1.7,4.0,4.75,2,0.5608856088560886,0.23837638376383766,0.2007380073800738
2020-12-20,2020-21,Granada,Betis,2,0,H,8,14,3,1,1,10,3,4,0,0,2.45,3.4,2.87,2,0.38846314616134875,0.27992197296920723,0.3316148808694441
2020-12-20,2020-21,Cadiz,Getafe,0,2,A,8,6,1,4,2,4,1,6,0,0,3.3,2.9,2.45,2,0.28695476575121165,0.32653473344103395,0.3865105008077544
2020-12-20,2020-21,Eibar,Real Madrid,1,3,A,10,11,3,5,4,4,1,0,0,0,6.5,4.2,1.5,4,0.1453287197231834,0.22491349480968856,0.629757785467128
2020-12-22,2020-21,Elche,Osasuna,2,2,D,7,15,2,6,4,4,1,2,0,1,3.3,3.0,2.37,4,0.286335628851033,0.31496919173613624,0.39869517941283067
2020-12-22,2020-21,Valencia,Sevilla,0,1,A,10,19,4,3,3,5,3,2,0,0,3.75,3.4,2.0,1,0.2513863216266174,0.27726432532347506,0.47134935304990755
2020-12-22,2020-21,Huesca,Levante,1,1,D,11,9,2,1,10,3,2,3,0,0,2.62,3.4,2.6,2,0.35993485342019543,0.2773615635179153,0.3627035830618892
2020-12-22,2020-21,Sociedad,Ath Madrid,0,2,A,6,8,1,3,5,5,3,3,0,0,3.3,3.2,2.25,2,0.2858844550327576,0.2948183442525313,0.41929720071471116
2020-12-22,2020-21,Valladolid,Barcelona,0,3,A,12,21,5,10,4,5,1,2,0,0,7.0,5.4,1.36,3,0.1343480169764379,0.17415483682130836,0.6914971462022538
2020-12-22,2020-21,Villarreal,Ath Bilbao,1,1,D,17,9,6,3,6,4,1,1,0,0,2.0,3.4,3.8,2,0.47291361639824303,0.2781844802342606,0.24890190336749632
2020-12-23,2020-21,Alaves,Eibar,2,1,H,13,8,3,4,2,7,4,2,0,0,2.75,2.87,2.9,3,0.3440606849796408,0.32967487236725157,0.32626444265310767
2020-12-23,2020-21,Betis,Cadiz,1,0,H,6,6,1,3,5,5,1,1,0,0,1.9,3.5,4.1,1,0.49843695727683224,0.2705800625217089,0.23098298020145888
2020-12-23,2020-21,Getafe,Celta,1,1,D,6,2,3,1,1,4,3,3,0,0,2.75,3.0,2.8,2,0.3449691991786447,0.31622176591375767,0.3388090349075975
2020-12-23,2020-21,Real Madrid,Granada,2,0,H,23,10,6,1,8,1,2,1,0,0,1.33,5.25,9.0,2,0.7137192704203014,0.18080888183980967,0.10547184773988898
2020-12-29,2020-21,Sevilla,Villarreal,2,0,H,10,6,3,2,4,7,1,4,0,0,2.25,3.3,3.25,2,0.4212076583210604,0.2871870397643594,0.2916053019145803
2020-12-29,2020-21,Barcelona,Eibar,1,1,D,16,9,5,3,5,7,0,2,0,0,1.28,5.75,9.5,2,0.7367320790343247,0.1640029671589453,0.09926495380673005
