Date,Season,League,HomeTeam,AwayTeam,FTHG,FTAG,FTR,diff_avg_points,diff_avg_goals_scored,diff_avg_goals_conceded,diff_table_position,diff_days_rest,home_attack_vs_away_defense,away_attack_vs_home_defense,home_avg_goals_scored,home_avg_goals_conceded,home_win_rate,home_clean_sheet_rate,home_table_position,away_avg_goals_scored,away_avg_goals_conceded,away_win_rate,away_clean_sheet_rate,away_table_position,home_matchday,league_Bundesliga,league_La Liga,league_Ligue 1,league_Premier League,league_Serie A,B365H,B365D,B365A
2024-09-15,2024-25,Bundesliga,Augsburg,St Pauli,3,1,H,0.2,0.8,1.2999999999999998,-1.0,-2.0,-0.7,-2.8,0.8,2.8,0.0,0.0,15.0,0.0,1.5,0.0,0.0,16.0,3,True,False,False,False,False,2.1,3.6,3.4
2024-09-20,2024-25,Bundesliga,Augsburg,Mainz,2,3,A,-0.8,-1.0000000000000002,0.6000000000000001,-4.0,0.0,-0.19999999999999996,0.20000000000000018,1.2,2.0,0.2,0.0,11.0,2.2,1.4,0.4,0.2,15.0,4,True,False,False,False,False,2.38,3.5,2.9
2024-10-04,2024-25,Bundesliga,Augsburg,M'gladbach,2,1,H,-0.3999999999999999,0.19999999999999996,1.1999999999999997,4.0,0.0,-0.20000000000000018,-1.5999999999999999,1.4,2.8,0.2,0.0,15.0,1.2,1.6,0.4,0.4,11.0,6,True,False,False,False,False,2.38,3.7,2.7
2024-10-26,2024-25,Bundesliga,Augsburg,Dortmund,2,1,H,-0.6000000000000001,-0.7999999999999998,0.0,8.0,-1.0,-0.7999999999999998,0.0,1.6,2.4,0.4,0.0,15.0,2.4,2.4,0.6,0.0,7.0,8,True,False,False,False,False,3.6,4.0,1.9
2024-11-10,2024-25,Bundesliga,Augsburg,Hoffenheim,0,0,D,0.3999999999999999,-0.19999999999999996,0.3999999999999999,-4.0,0.0,-0.40000000000000013,-0.6000000000000001,1.2,2.0,0.4,0.0,12.0,1.4,1.6,0.2,0.2,16.0,10,True,False,False,False,False,2.05,3.75,3.25
2024-11-30,2024-25,Bundesliga,Augsburg,Bochum,1,0,H,0.8,0.0,-2.0,-4.0,1.0,-2.8,-0.8,0.8,1.6,0.2,0.2,14.0,0.8,3.6,0.0,0.0,18.0,12,True,False,False,False,False,1.73,4.0,4.5
2024-12-14,2024-25,Bundesliga,Augsburg,Leverkusen,0,2,A,-1.0000000000000002,-1.2,0.19999999999999996,10.0,0.0,-0.19999999999999996,0.8,0.8,1.2,0.2,0.4,13.0,2.0,1.0,0.6,0.2,3.0,14,True,False,False,False,False,5.75,4.0,1.57
2025-01-12,2024-25,Bundesliga,Augsburg,Stuttgart,0,1,A,-1.2,-1.2,1.2,2.0,0.0,-0.3999999999999999,-0.3999999999999999,0.8,2.4,0.2,0.2,13.0,2.0,1.2,0.6,0.2,11.0,16,True,False,False,False,False,3.6,3.6,2.0
2025-01-25,2024-25,Bundesliga,Augsburg,Heidenheim,2,1,H,0.3999999999999999,-0.19999999999999996,-0.3999999999999999,-4.0,-1.0,-1.0,-0.40000000000000013,1.0,1.6,0.4,0.4,12.0,1.2,2.0,0.2,0.2,16.0,19,True,False,False,False,False,1.82,3.6,4.0
2025-02-14,2024-25,Bundesliga,Augsburg,RB Leipzig,0,0,D,1.0000000000000002,-0.20000000000000018,-0.9999999999999999,8.0,1.0,0.0,1.2000000000000002,1.4,0.4,0.6,0.6,12.0,1.6,1.4,0.2,0.4,4.0,22,True,False,False,False,False,2.9,3.3,2.4
